# timestamp tx ty tz qx qy qz qw
13118.4464571 -10.5398371122 2.38577636599 -11.3817497878 0.0500493360857, 0.328615018355 -0.133778872089 -0.933600796407
13118.4566719 -10.5396954398 2.38581054979 -11.3818478805 0.0500447639618, 0.328623064772 -0.133780808297 -0.933597931784
13118.4664598 -10.5401485611 2.38595299721 -11.3813614418 0.0500362178214, 0.328601488574 -0.133779178988 -0.933606217783
13118.4766723 -10.539950974 2.38602157561 -11.3815259214 0.0500377512178, 0.328608812067 -0.133776703278 -0.933603912666
13118.4864571 -10.5395192702 2.3861685533 -11.3821140296 0.0500469684353, 0.328641463347 -0.133767640856 -0.933593223936
13118.496658 -10.5397027715 2.38612625785 -11.3819463352 0.050045182633, 0.328632963453 -0.133771569112 -0.933595748879
13118.5064571 -10.5395213003 2.38607607929 -11.3820951145 0.0500482045307, 0.328641062179 -0.13377376577 -0.933592421276
13118.5166717 -10.5398676513 2.38601976309 -11.3817479625 0.0500483370414, 0.328621776009 -0.133777262162 -0.933598702024
13118.526494 -10.5397929209 2.38602690101 -11.3818197689 0.0500508505128, 0.328628190925 -0.133777103463 -0.933596331977
13118.5366539 -10.5394907226 2.38624027708 -11.3820845358 0.0500529033147, 0.328646024467 -0.133766935953 -0.933591401159
13118.5464561 -10.5389755816 2.3862609254 -11.3825629845 0.0500550689405, 0.328673204862 -0.133766622121 -0.933581761436
13118.5566886 -10.539367359 2.38629021068 -11.3821837448 0.0500493995326, 0.328656534507 -0.133769141803 -0.933587573093
13118.5664576 -10.5395181627 2.38629967607 -11.3820277898 0.0500502680257, 0.328648039083 -0.13376962133 -0.933590448477
13118.576658 -10.539226693 2.38632257933 -11.3822808713 0.0500507570312, 0.328660399349 -0.133769997099 -0.933586017192
13118.5864565 -10.5393256688 2.38651920643 -11.3822062001 0.0500443123928, 0.328668046911 -0.133758479047 -0.933585320697
13118.5966732 -10.5397279376 2.38660384995 -11.3818002418 0.0500396842444, 0.328649793483 -0.133758060567 -0.933592054635
13118.6064564 -10.5389269061 2.38664151542 -11.3825302817 0.0500399110581, 0.328689565491 -0.133758150372 -0.93357802783
13118.616655 -10.53966729 2.3866650383 -11.3818050729 0.0500326666589, 0.328651059696 -0.133761365579 -0.933591511479
13118.6264576 -10.539304405 2.38674798831 -11.3821224272 0.0500325528055, 0.328670146086 -0.13375927105 -0.933585098499
13118.6366721 -10.5395480144 2.38676240383 -11.381993785 0.0500356599204, 0.328662408291 -0.133758134554 -0.933587818876
13118.6464572 -10.5395937229 2.38659648482 -11.3820017595 0.0500416944692, 0.328658734654 -0.133764587495 -0.933587864147
13118.6566748 -10.5395553107 2.38631976532 -11.3820945775 0.0500460079155, 0.328662387784 -0.133777087113 -0.933584555845
13118.6664551 -10.5394775055 2.38596730449 -11.3822747473 0.0500447969535, 0.328672217601 -0.133795583067 -0.933578509621
13118.6766711 -10.5390561983 2.38540522843 -11.3827980809 0.0500505263397, 0.328698697115 -0.133820564515 -0.933565299184
13118.6864563 -10.5395079915 2.38469547623 -11.3826883532 0.0500514253883, 0.328692928844 -0.133848660158 -0.93356325416
13118.6966539 -10.5398994396 2.38376441429 -11.3825280352 0.0500567897982, 0.328679640192 -0.133889917051 -0.933561729095
13118.7064558 -10.5399531008 2.38269073155 -11.3827351044 0.0500670607183, 0.328685146951 -0.133935441368 -0.933552709359
13118.7166699 -10.5398490842 2.38145294129 -11.3831306075 0.0500790072135, 0.328699781729 -0.133987676174 -0.93353942025
13118.7264547 -10.5399683669 2.3802597385 -11.3833092235 0.0500906416102, 0.328701829615 -0.134037799244 -0.93353087962
13118.7264547 -10.5399683669 2.3802597385 -11.3833092235 0.0500906416102, 0.328701829615 -0.134037799244 -0.93353087962
13118.7464555 -10.5402418955 2.37776550609 -11.3837351751 0.0501217014451, 0.328707279047 -0.134135807798 -0.933513216196
13118.756686 -10.540441815 2.37632904657 -11.3839249609 0.0501377422522, 0.328707433396 -0.134194993669 -0.933503794157
13118.7664601 -10.5407047523 2.37491212484 -11.3840380797 0.050150453729, 0.328704222916 -0.134254861537 -0.933495633617
13118.7766788 -10.5407893072 2.37344737571 -11.3843438843 0.0501618319436, 0.328711672425 -0.134317886825 -0.933483332635
13118.7864621 -10.5412570429 2.37203072341 -11.3843558514 0.0501665352878, 0.328707947149 -0.13437441129 -0.933476256693
13118.7966767 -10.5414134603 2.37034260687 -11.3846776099 0.0501790900297, 0.328714438241 -0.134447585803 -0.933462759668
13118.8064573 -10.541792929 2.36854856836 -11.3848281524 0.0501949028548, 0.328709586059 -0.134524229155 -0.933452575941
13118.8166573 -10.542008753 2.36632745728 -11.3852219648 0.0502172464568, 0.328715205068 -0.134618091897 -0.933435863597
13118.8264576 -10.5422515548 2.36396920895 -11.3856194951 0.0502414241, 0.328720232033 -0.134717586205 -0.93341843796
13118.8366677 -10.5425910858 2.36108288828 -11.3860376667 0.0502690007622, 0.328723955325 -0.134832749861 -0.933399013457
13118.8464538 -10.5425005441 2.35808446875 -11.3869037307 0.0503086876964, 0.328747930426 -0.134955055372 -0.933370755495
13118.8566717 -10.543053597 2.35472496881 -11.387248997 0.0503463814428, 0.328740908338 -0.135094752926 -0.933350986924
13118.8664559 -10.5434180654 2.35127823878 -11.3877785735 0.0503883480869, 0.328742527502 -0.135236786245 -0.933327582703
13118.876669 -10.543471164 2.34737701503 -11.3887611988 0.0504404395892, 0.328762785747 -0.135395558082 -0.933294613514
13118.8864708 -10.544914771 2.34321906716 -11.3883368801 0.0504776860155, 0.328720876575 -0.135567576487 -0.933282390664
13118.8966601 -10.5449716138 2.33866198833 -11.3893647782 0.0505277152172, 0.328743340801 -0.135758005724 -0.933244089055
13118.9064607 -10.5455924699 2.33404935013 -11.3899459828 0.0505773166058, 0.328742965696 -0.135951083255 -0.933213427096
13118.916672 -10.5461986024 2.32887798751 -11.3906358627 0.0506365712223, 0.328741136151 -0.136165830484 -0.933179548461
13118.9264631 -10.546851807 2.32366000885 -11.3913093243 0.0506918913959, 0.328741338947 -0.136384757945 -0.933144502215
13118.9366638 -10.5478879653 2.31760603827 -11.3918506852 0.0507416407874, 0.328730962949 -0.136636143485 -0.933108677584
13118.9464627 -10.5480541012 2.31166279702 -11.393132587 0.0508053254803, 0.328755724328 -0.136885311549 -0.933059968119
13118.9566834 -10.5491883226 2.30515263983 -11.3936142602 0.0508744398503, 0.328741574398 -0.1371580334 -0.933021137224
13118.9664694 -10.5492658301 2.29880851076 -11.3950543613 0.050949405942, 0.328772168667 -0.137421104845 -0.932967555217
13118.9766685 -10.5504336064 2.2919117365 -11.3956036321 0.0510230468425, 0.328755608089 -0.13771027201 -0.932926728004
13118.9864705 -10.5516569427 2.28502415721 -11.3960788497 0.0510865298284, 0.328744690796 -0.13799528662 -0.932884985201
13118.9966675 -10.5526070778 2.27744029161 -11.396996515 0.051166441822, 0.328739424064 -0.138313883247 -0.932835278063
13119.0064677 -10.5534305129 2.26971117687 -11.3980670949 0.0512471693222, 0.328745969605 -0.138638972871 -0.932780279759
13119.0166687 -10.5545095751 2.26112312822 -11.3990917894 0.0513392369701, 0.328742903781 -0.138998739861 -0.93272275424
13119.0265031 -10.5563393777 2.25260718986 -11.3993784823 0.0514295597415, 0.328703293394 -0.139355649832 -0.93267848059
13119.0366725 -10.5569690968 2.24322940476 -11.4010385607 0.0515448338404, 0.328724054002 -0.139737666667 -0.932607640404
13119.0464721 -10.5582600263 2.23392104436 -11.4019844074 0.0516571849658, 0.328708804925 -0.140121752875 -0.932549168236
13119.0566729 -10.5597846189 2.22400403559 -11.402840517 0.0517753102344, 0.328685071383 -0.140531788506 -0.93248928011
13119.0664504 -10.5608728213 2.21427750312 -11.404052404 0.0518960740265, 0.32868138714 -0.140932427707 -0.932423398499
13119.0766748 -10.5630156416 2.2035785047 -11.4045094607 0.0520223408211, 0.328634554492 -0.141375527338 -0.932365789762
13119.0864728 -10.5636493483 2.19312196898 -11.4063958998 0.0521601691518, 0.328655185222 -0.141799812738 -0.93228638255
13119.0966849 -10.5651353997 2.18165229747 -11.4076175087 0.0523069979382, 0.328637561532 -0.142270054006 -0.932212724034
13119.1064777 -10.5668369275 2.17031608688 -11.4085578767 0.052450185678, 0.328605926364 -0.142735541657 -0.932144671351
13119.1166781 -10.5682926508 2.15816274335 -11.4098648257 0.0526051820639, 0.328589217011 -0.143234213666 -0.932065331036
13119.1264749 -10.5699911374 2.14611595662 -11.4108864541 0.052752186044, 0.328560418774 -0.143731445912 -0.931990627388
13119.1366793 -10.5717063323 2.13330902881 -11.412040934 0.0528995266875, 0.328541481562 -0.14425492069 -0.931908071017
13119.1464735 -10.5732704382 2.12075894898 -11.4132367625 0.0530575113068, 0.328519727077 -0.144771282873 -0.931826681884
13119.1566819 -10.5749880247 2.10726413071 -11.4144808667 0.0532288147551, 0.328494488982 -0.145325897479 -0.931739474054
13119.1664767 -10.5766980756 2.09405018143 -11.4156171282 0.053393200891, 0.328466424081 -0.145870618039 -0.931654837986
13119.1766784 -10.578630484 2.0800167604 -11.4167019951 0.053562699912, 0.328431495545 -0.146451594955 -0.931566272601
13119.1864782 -10.5805748325 2.0665418737 -11.4174768739 0.0537354726429, 0.328407706001 -0.147003466719 -0.931477782017
13119.1966856 -10.5824070505 2.05181343427 -11.4187011412 0.0539266463917, 0.328374569011 -0.147607151973 -0.931382943757
13119.2064745 -10.5844193878 2.03753829941 -11.4196335938 0.0541085994475, 0.328329972474 -0.148194118162 -0.931294900654
13119.2166747 -10.5862394696 2.02201666306 -11.4209821904 0.0543093863106, 0.328300759459 -0.148831052706 -0.931191934913
13119.2264796 -10.5877764041 2.00664829542 -11.4225241151 0.0545076422246, 0.328279609368 -0.149461776429 -0.931086780273
13119.2366869 -10.5899361658 1.99096151659 -11.4234866997 0.0547006218262, 0.328239861606 -0.150102455807 -0.930986405908
13119.2464758 -10.5921414289 1.97526707832 -11.4243879172 0.0549025789835, 0.328185502797 -0.150746254877 -0.930889654694
13119.2566917 -10.593816452 1.95854114033 -11.4259889196 0.0551210025166, 0.32816159845 -0.151431181666 -0.930773999209
13119.2664741 -10.5960672972 1.94223316089 -11.4268946684 0.0553301772765, 0.328105777064 -0.152099907412 -0.930672224097
13119.2766832 -10.5982836446 1.92483151107 -11.4280249239 0.0555613841885, 0.32805437902 -0.152809589231 -0.930560307789
13119.2864475 -10.600141129 1.90855548716 -11.4291965525 0.055774296041, 0.328025756121 -0.153468929248 -0.930449149055
13119.2966455 -10.6023635015 1.89083064431 -11.4303000777 0.0560040515891, 0.327970922206 -0.154193715696 -0.930334842104
13119.306452 -10.6042288336 1.87365981823 -11.4316028677 0.0562300987706, 0.327935081429 -0.154893914834 -0.930217519458
